discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
0,0.0,Colorful Geometric Print Casual Hoodie,29.99,8376699,"Clothes Type:Hoodies;Style:Casual;Pattern Type:Geometric;Material:Polyester;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring,Winter;Weight:0.6000kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/colorful-geometric-print-casual-hoodie-product8376699.html,0
0,0.0,Marvel Spider-Man Ripped Design Denim Jacket,36.99,8356161,"Clothes Type:Jackets;Style:Fashion,Punk;Material:Cotton;Collar:Turn-down Collar;Shirt Length:Regular;Season:Winter;Sleeve Length:Long Sleeves;Fit Type:Daily;Pattern Type:Anime;Weight:0.8000kg;Package Contents:1 x Jacket;",https://www.dresslily.com/marvel-spider-man-ripped-design-product8356161.html,0
0,0.0,Contrast Letter Patch Detail Pouch Pocket Fleece Hoodie,26.99,4754322,"Clothes Type:Hoodie;Occasion:Daily,Home,Office,Sports;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Thick;Patterns:Colorblock;Season:Fall,Winter;Weight:0.5500kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/contrast-letter-patch-detail-pouch-product4754322.html,0
46,20.99,Colorful Block 3D Print Kangaroo Pocket Hoodie,38.6,8362966,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:3D Print,Others;Season:Fall,Spring,Winter;Weight:0.5300kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/colorful-block-3d-print-kangaroo-product8362966.html,0
0,0.0,Two Tone Sun Moon Chinese Tai Ji Print Hoodie,26.99,8366263,"Clothes Type:Hoodie;Occasion:Daily;Style:Chinese Style;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:Moon,Sun;Season:Fall,Winter;Weight:0.5500kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/two-tone-sun-moon-chinese-product8366263.html,0
0,0.0,Zipper Pocket Half Zip Drawstring Hoodie,29.99,8374787,"Clothes Type:Hoodies;Style:Casual;Pattern Type:Others;Material:Cotton,Polyester;Fabric Stretch:Slight Stretch;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Winter;Weight:0.6400kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/zipper-pocket-half-zip-drawstring-product8374787.html,0
0,0.0,Pleated Raglan Sleeve Ripped Pullover Hoodie,29.99,4392545,"Clothes Type:Hoodie;Occasion:Daily Use;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Solid;Season:Fall,Winter;Weight:0.5200kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/pleated-raglan-sleeve-ripped-pullover-product4392545.html,1
0,0.0,Christmas Santa Claus Music Note Print Drawstring Hoodie,26.99,8370303,"Clothes Type:Hoodie;Occasion:Daily;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:Santa Claus;Season:Fall,Winter;Weight:0.5000kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/christmas-santa-claus-music-note-product8370303.html,0
47,22.99,Casual Splicing Color Block Hoodie,43.18,4256315,"Clothes Type:Hoodies;Style:Fashion;Pattern Type:Patchwork;Material:Cotton,Polyester;Shirt Length:Regular;Sleeve Length:Full;Season:Winter,Fall;Weight:0.5270kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/casual-splicing-color-block-hoodie-product4256315.html,1
41,24.99,Masked Face Graphic Front Pocket Casual Hoodie,42.37,8270127,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Face;Season:Fall,Spring;Weight:0.5300kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/masked-face-graphic-front-pocket-product8270127.html,0
